symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESM6,-2,0,0.25,540725260010,540725260021,1,7494.25,7494.75,$25.00,06/14/2026 18:03:54,06/14/2026 18:04:19,25sec
MESM6,-2,0,0.25,540725260033,540725260130,1,7491.75,7491.75,$0.00,06/14/2026 18:13:48,06/14/2026 18:50:51,37min 2sec
MESU6,-2,0,0.25,540725260076,540725260044,1,7554.75,7558.00,$16.25,06/14/2026 18:45:14,06/14/2026 18:40:17,4min 56sec
MESU6,-2,0,0.25,540725260088,540725260119,1,7555.50,7554.25,$(6.25),06/14/2026 18:49:36,06/14/2026 18:50:46,1min 9sec
MESM6,-2,0,0.25,540725260141,540725260150,1,7491.25,7491.25,$0.00,06/14/2026 18:51:01,06/14/2026 18:51:04,3sec
MESM6,-2,0,0.25,540725260211,540725260220,1,7550.00,7549.75,$(1.25),06/16/2026 11:05:11,06/16/2026 11:05:19,7sec
MESM6,-2,0,0.25,540725260235,540725260263,1,7551.00,7550.00,$(5.00),06/16/2026 11:06:15,06/16/2026 11:06:24,8sec
MESM6,-2,0,0.25,540725260257,540725260277,1,7550.00,7551.50,$7.50,06/16/2026 11:06:24,06/16/2026 11:10:43,4min 19sec
ESU6,-2,0,0.25,540725260299,540725260288,1,7619.25,7618.25,$(50.00),06/16/2026 11:21:28,06/16/2026 11:21:21,7sec
