Account ID,Account Name,Trade Date,Total Amount,Total Realized PNL
54066902,DEMO8049461,2026-06-12,"50,000.00",0.00
54066902,DEMO8049461,2026-06-13,"50,000.00",0.00
54066902,DEMO8049461,2026-06-15,"47,521.64",21.64
54066902,DEMO8049461,2026-06-16,"47,461.43",-60.21
54066902,DEMO8049461,2026-06-17,"47,461.43",0.00
54066902,DEMO8049461,2026-06-20,"47,461.43",0.00
